"Benchmark","Mode","Threads","Samples","Score","Score Error","Unit","Param: size","Param: sparsity"
"utils.BenchmarkRunner.loopUnrolledMultiply","avgt",1,5,"0,413336","0,269127","ms/op",128,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate","avgt",1,5,"514,091995","270,737310","MB/sec",128,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate.norm","avgt",1,5,"1549890,026347","1,054549","B/op",128,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.count","avgt",1,5,"137,000000",NaN,"counts",128,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.time","avgt",1,5,"112,000000",NaN,"ms",128,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply","avgt",1,5,"0,220542","0,002753","ms/op",128,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate","avgt",1,5,"515,772432","2,482733","MB/sec",128,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate.norm","avgt",1,5,"856552,802440","35,881502","B/op",128,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.count","avgt",1,5,"138,000000",NaN,"counts",128,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.time","avgt",1,5,"205,000000",NaN,"ms",128,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply","avgt",1,5,"0,220640","0,010433","ms/op",128,0.9
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate","avgt",1,5,"322,210422","13,380970","MB/sec",128,0.9
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate.norm","avgt",1,5,"390490,599490","90,798165","B/op",128,0.9
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.count","avgt",1,5,"86,000000",NaN,"counts",128,0.9
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.time","avgt",1,5,"122,000000",NaN,"ms",128,0.9
"utils.BenchmarkRunner.loopUnrolledMultiply","avgt",1,5,"1,656660","0,163885","ms/op",256,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate","avgt",1,5,"792,952625","60,283304","MB/sec",256,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate.norm","avgt",1,5,"6585765,517226","0,445941","B/op",256,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.count","avgt",1,5,"178,000000",NaN,"counts",256,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.time","avgt",1,5,"327,000000",NaN,"ms",256,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply","avgt",1,5,"1,643292","0,008115","ms/op",256,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate","avgt",1,5,"584,392484","4,011273","MB/sec",256,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate.norm","avgt",1,5,"4398865,552486","407,816300","B/op",256,0.5
